,LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate
0,1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","130    E7
Name: EventId, dtype: object","130    printFreezingDisplayLogsopening app wtoken = A...
Name: EventTemplate, dtype: object"
1,2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227","147    E8
Name: EventId, dtype: object","147    <*> <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
2,3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","40    E28
Name: EventId, dtype: object","40    <*>
Name: EventTemplate, dtype: object"
3,4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,"129    E29
Name: EventId, dtype: object","129    Skipping AppWindowToken{df0798e token=Token{78...
Name: EventTemplate, dtype: object"
4,5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,"0    E63
Name: EventId, dtype: object","0    visible is <*>
Name: EventTemplate, dtype: object"
5,6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,"125    E96
Name: EventId, dtype: object","125    mVisiblity.getValue is false
Name: EventTemplate, dtype: object"
6,7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,"0    E63
Name: EventId, dtype: object","0    visible is <*>
Name: EventTemplate, dtype: object"
7,8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,"125    E96
Name: EventId, dtype: object","125    mVisiblity.getValue is false
Name: EventTemplate, dtype: object"
8,9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt 0,"76    E64
Name: EventId, dtype: object","76    visible is <*> gt 0
Name: EventTemplate, dtype: object"
9,10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,"125    E96
Name: EventId, dtype: object","125    mVisiblity.getValue is false
Name: EventTemplate, dtype: object"
10,11,03-17,16:13:38.881,2227,2227,D,TextView,visible is system.message.count gt 0,"76    E64
Name: EventId, dtype: object","76    visible is <*> gt 0
Name: EventTemplate, dtype: object"
11,12,03-17,16:13:38.882,2227,2227,D,TextView,mVisiblity.getValue is false,"125    E96
Name: EventId, dtype: object","125    mVisiblity.getValue is false
Name: EventTemplate, dtype: object"
12,13,03-17,16:13:38.887,2227,2227,D,TextView,visible is system.ownerinfo.show,"0    E63
Name: EventId, dtype: object","0    visible is <*>
Name: EventTemplate, dtype: object"
13,14,03-17,16:13:38.888,2227,2227,D,TextView,mVisiblity.getValue is false,"125    E96
Name: EventId, dtype: object","125    mVisiblity.getValue is false
Name: EventTemplate, dtype: object"
14,15,03-17,16:13:38.905,1702,10454,D,PowerManagerService,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227","147    E8
Name: EventId, dtype: object","147    <*> <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
