,EventId,EventTemplate
0,E63,visible is <*>
1,E99,startAnimation <*>
2,E172,"flingToHeight: vel=0.0, expand=false, target=0.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false"
3,E65,<*> <*>
4,E140,"ActivityRecord info: ActivityInfo{d1c8e63 com.tencent.mobileqq.activity.SplashActivity}, euid: 0"
5,E25,"acquire <*> flags=0x1, tag=""AudioMix"", name=audioserver, ws=null, uid=1041, pid=0"
6,E12,"<*> flg=0x0, <*> name=android"", ws=null, uid=1000, pid=1702"
7,E132,"onReceive, action:android.intent.action.BATTERY_CHANGED"
8,E122,received broadcast android.intent.action.TIME_TICK
9,E135,"interceptKeyBeforeQueueing: key <*> , result : 1"
10,E137,cancelPeek: false
11,E183,"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?false"
12,E2,Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.removeLocked:1554 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702 com.android.server.wm.WindowManagerService.removeWindowLocked:2691 com.android.server.wm.WindowManagerService.removeWindowLocked:2560 com.android.server.wm.WindowManagerService.removeWindow:2555
13,E47,"new Process app=ProcessRecord{6eaaf00 0:com.tencent.mobileqq:qzone/u0a111}, name: com.tencent.mobileqq:qzone, euid: 0"
14,E173,"animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=true"
15,E27,"START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.tencent.mobileqq/.activity.SplashActivity bnds=[360,820][536,1011]} from uid 10057 on display 0"
16,E115,setLightsOn(true)
17,E130,shouldBlockLocation  ret:true
18,E138,onTrackingStopped: true
19,E127,addNotification <*>
20,E190,"updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=0, mPlugType=0, mBatteryLevel=23"
21,E191,"<*> flg=0x0, tag=""AudioMix"", name=audioserver"", ws=null, uid=1041, pid=0"
22,E174,"cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id <*>"
23,E68,"Animating brightness: target=38, rate=200"
24,E144,getLastAudibleStreamVolume  treamType: <*>
25,E81,cleanUpApplicationRecord -- <*>
26,E167,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-2.0"
