,EventId,EventTemplate
0,E88.0,<*> tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over <*> seconds
1,E10.0,ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map
2,E98.0,CE sym <*> at <*> mask <*>
3,E78.0,"ciod: Error loading <*> invalid or missing program image, Permission denied"
4,E63.0,ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required
5,E46.0,ciod: pollControlDescriptors: Detected the debugger died.
6,E105.0,total of <*> ddr error(s) detected and corrected
7,E80.0,<*> tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
8,E85.0,<*> torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over <*> seconds
9,E17.0,"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error"
10,E113.0,Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*> found <*>
11,E26.0,ciod: LOGIN chdir(/home/yates/SWL_tests/BGL64k_SWL_tests_develop/MPI-VAL/MPITs_v050902/rundir) failed: No such file or directory
12,E58.0,"ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory"
13,E19.0,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed
14,E15.0,PrepareForService shutting down <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
15,E41.0,lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000
16,E109.0,<*> <*> <*> <*> <*>
17,E110.0,Can not get assembly information for node card
18,E84.0,ciod: generated 128 core files for program /bgl/apps/followup/SPaSM_static/SPaSM_mpi.rel2
19,E56.0,ciod: LOGIN <*> failed: No such file or directory
20,E112.0,<*> floating point alignment exceptions
21,E24.0,"ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)"
22,E86.0,ciod: generated 128 core files for program /g/g90/glosli/src/ddcMD/ddcMD1.1.18a/bin/ddcMDbglV
23,E68.0,ciod: LOGIN <*> failed: No such file or directory
24,E102.0,<*> <*> <*>
