,EventId,EventTemplate
0,E94,<*> <*> <*> <*> <*> java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost
1,E90,"Error Recovery for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731 in pipeline 10.86.169.121:50010, 10.190.173.170:50010: bad datanode 10.190.173.170:50010"
2,E52,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260
3,E88,"Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]"
4,E80,The job-jar file on the remote FS is hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar
5,E93,"Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)"
6,E16,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog
7,E61,<*> Task Transitioned from SCHEDULED to RUNNING
8,E60,ATTEMPT_START <*>
9,E49,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;
10,E85,<*> Scheduling: <*> <*> <*> <*> AssignedReds:0 <*> CompletedReds:0 <*> <*> <*> RackLocal:3
11,E63,JVM with ID: <*> given task: <*>
12,E15,IPC Server <*> <*>
13,E26,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030
14,E6,Emitting job history data to the timeline server is not enabled
15,E19,adding path spec: <*>
16,E92,DataStreamer Exception
17,E9,Adding job token for job_1445144423722_0020 to jobTokenSecretManager
18,E32,"Recalculating schedule, <*> <*>"
19,E65,JVM with ID : <*> asked for a task
20,E17,Http request log for http.requests.mapreduce is not defined
21,E58,Opening proxy : 04DN8IQ.fareast.corp.microsoft.com:54883
22,E24,JOB_CREATE job_1445144423722_0020
23,E2,Using mapred newApiCommitter.
24,E71,Scheduling a redundant attempt for task task_1445144423722_0020_m_000000
25,E10,job_1445144423722_0020Job Transitioned from <*> to <*>
26,E67,<*> TaskAttempt Transitioned from <*> to <*>
27,E30,Processing the event EventType: <*>
28,E83,TaskAttempt: [attempt_1445144423722_0020_m_000000_0] using containerId: [container_1445144423722_0020_01_000002 on NM: [04DN8IQ.fareast.corp.microsoft.com:54883]
29,E38,Auth successful for job_1445144423722_0020 (auth:SIMPLE)
30,E81,The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml
31,E54,<*> Task Transitioned from NEW to SCHEDULED
32,E18,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
33,E69,task_1445144423722_0020_m_000003 Task Transitioned from RUNNING to SUCCEEDED
34,E48,Registering class <*> for class <*>
35,E70,DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_1445144423722_0020_m_000000
36,E64,Progress of TaskAttempt <*> is : <*>
37,E44,ERROR IN CONTACTING RM.
38,E77,"Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist"
39,E13,Starting Socket Reader #1 for port <*>
40,E53,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>
41,E28,Upper limit on the thread pool size is 500
42,E25,<*>
43,E76,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp
44,E50,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10
45,E35,Adding #0 tokens and #1 secret keys for NM use for launching container
46,E68,Task <*> <*> <*> <*>
47,E36,Putting shuffle token in serviceData
48,E40,Container complete event for unknown container id container_1445144423722_0020_01_000012
49,E41,Received completed container <*>
50,E57,<*> <*>
51,E8,Scheduled snapshot period at 10 second(s).
52,E1,Executing with tokens:
53,E14,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server
54,E29,yarn.client.max-cached-nodemanagers-proxies : 0
55,E55,<*> TaskAttempt Transitioned from <*> to <*>
56,E74,Added <*> to list of failed maps
57,E33,<*> <*> <*> <*>
58,E87,"Cannot assign container Container: [ContainerId: container_1445144423722_0020_01_000012, NodeId: MSRA-SA-39.fareast.corp.microsoft.com:28345, NodeHttpAddress: MSRA-SA-39.fareast.corp.microsoft.com:8042, Resource: <memory:1024, vCores:1>, Priority: 20, Token: Token { kind: ContainerToken, service: 172.22.149.145:28345 }, ] for a map as either  container memory less than required <memory:1024, vCores:1> or no pending map tasks - maps.isEmpty=true"
59,E27,<*> <*>
60,E7,loaded properties from hadoop-metrics2.properties
61,E12,Using callQueue class java.util.concurrent.LinkedBlockingQueue
62,E42,Address change detected. Old: <*> New: <*>
