,LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
0,1,Jun,14,15:16:01,combo,sshd(pam_unix),19939.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"18    E0
Name: EventId, dtype: object","18    <*> <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
1,2,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,check pass; user unknown,"28    E1
Name: EventId, dtype: object","28    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
2,3,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"18    E0
Name: EventId, dtype: object","18    <*> <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
3,4,Jun,15,02:04:59,combo,sshd(pam_unix),20882.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"12    E2
Name: EventId, dtype: object","12    authentication failure; logname= uid=0 euid=0 ...
Name: EventTemplate, dtype: object"
4,5,Jun,15,02:04:59,combo,sshd(pam_unix),20884.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"12    E2
Name: EventId, dtype: object","12    authentication failure; logname= uid=0 euid=0 ...
Name: EventTemplate, dtype: object"
5,6,Jun,15,02:04:59,combo,sshd(pam_unix),20883.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"12    E2
Name: EventId, dtype: object","12    authentication failure; logname= uid=0 euid=0 ...
Name: EventTemplate, dtype: object"
6,7,Jun,15,02:04:59,combo,sshd(pam_unix),20885.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"12    E2
Name: EventId, dtype: object","12    authentication failure; logname= uid=0 euid=0 ...
Name: EventTemplate, dtype: object"
7,8,Jun,15,02:04:59,combo,sshd(pam_unix),20886.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"12    E2
Name: EventId, dtype: object","12    authentication failure; logname= uid=0 euid=0 ...
Name: EventTemplate, dtype: object"
8,9,Jun,15,02:04:59,combo,sshd(pam_unix),20892.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"12    E2
Name: EventId, dtype: object","12    authentication failure; logname= uid=0 euid=0 ...
Name: EventTemplate, dtype: object"
9,10,Jun,15,02:04:59,combo,sshd(pam_unix),20893.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"12    E2
Name: EventId, dtype: object","12    authentication failure; logname= uid=0 euid=0 ...
Name: EventTemplate, dtype: object"
10,11,Jun,15,02:04:59,combo,sshd(pam_unix),20896.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"12    E2
Name: EventId, dtype: object","12    authentication failure; logname= uid=0 euid=0 ...
Name: EventTemplate, dtype: object"
11,12,Jun,15,02:04:59,combo,sshd(pam_unix),20897.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"12    E2
Name: EventId, dtype: object","12    authentication failure; logname= uid=0 euid=0 ...
Name: EventTemplate, dtype: object"
12,13,Jun,15,02:04:59,combo,sshd(pam_unix),20898.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"12    E2
Name: EventId, dtype: object","12    authentication failure; logname= uid=0 euid=0 ...
Name: EventTemplate, dtype: object"
13,14,Jun,15,04:06:18,combo,su(pam_unix),21416.0,session opened for user cyrus by (uid=0),"27    E3
Name: EventId, dtype: object","27    <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
14,15,Jun,15,04:06:19,combo,su(pam_unix),21416.0,session closed for user cyrus,"24    E4
Name: EventId, dtype: object","24    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
15,16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],"20    E5
Name: EventId, dtype: object","20    <*>
Name: EventTemplate, dtype: object"
16,17,Jun,15,04:12:42,combo,su(pam_unix),22644.0,session opened for user news by (uid=0),"27    E3
Name: EventId, dtype: object","27    <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
17,18,Jun,15,04:12:43,combo,su(pam_unix),22644.0,session closed for user news,"24    E4
Name: EventId, dtype: object","24    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
18,19,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,check pass; user unknown,"28    E1
Name: EventId, dtype: object","28    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
19,20,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"18    E0
Name: EventId, dtype: object","18    <*> <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
20,21,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,check pass; user unknown,"28    E1
Name: EventId, dtype: object","28    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
21,22,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"18    E0
Name: EventId, dtype: object","18    <*> <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
22,23,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,check pass; user unknown,"28    E1
Name: EventId, dtype: object","28    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
23,24,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"18    E0
Name: EventId, dtype: object","18    <*> <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
24,25,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,check pass; user unknown,"28    E1
Name: EventId, dtype: object","28    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
25,26,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"18    E0
Name: EventId, dtype: object","18    <*> <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
26,27,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,check pass; user unknown,"28    E1
Name: EventId, dtype: object","28    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
27,28,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"18    E0
Name: EventId, dtype: object","18    <*> <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
28,29,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,check pass; user unknown,"28    E1
Name: EventId, dtype: object","28    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
