,LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate
0,1,Jul,1,09:00:55,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,"299    E356
Name: EventId, dtype: object","299    IOThunderboltSwitch<0>(0x0)::listenerCallback ...
Name: EventTemplate, dtype: object"
1,2,Jul,1,09:01:05,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,"11    E39
Name: EventId, dtype: object","11    Thermal pressure state: <*> Memory pressure st...
Name: EventTemplate, dtype: object"
2,3,Jul,1,09:01:06,calvisitor-10-105-160-95,QQ,10018,,FA||Url||taskID[2019352994] dealloc,"416    E110
Name: EventId, dtype: object","416    <*> <*>
Name: EventTemplate, dtype: object"
3,4,Jul,1,09:02:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],"115    E255
Name: EventId, dtype: object","115    ARPT: <*> <*> <*>
Name: EventTemplate, dtype: object"
4,5,Jul,1,09:02:26,authorMacBook-Pro,kernel,0,,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],"193    E40
Name: EventId, dtype: object","193    ARPT: <*> <*> <*>
Name: EventTemplate, dtype: object"
5,6,Jul,1,09:03:11,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),"118    E256
Name: EventId, dtype: object","118    mDNS_DeregisterInterface: Frequent transitions...
Name: EventTemplate, dtype: object"
6,7,Jul,1,09:03:13,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","148    E391
Name: EventId, dtype: object","148    ARPT: <*> IOPMPowerSource Information: <*>  Sl...
Name: EventTemplate, dtype: object"
7,8,Jul,1,09:04:33,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096","357    E357
Name: EventId, dtype: object","357    ARPT: <*> wl0: wl_update_tcpkeep_seq: Original...
Name: EventTemplate, dtype: object"
8,9,Jul,1,09:04:33,authorMacBook-Pro,kernel,0,,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,"227    E41
Name: EventId, dtype: object","227    ARPT: <*> ARPT: Wake Reason: Wake on <*> <*>
Name: EventTemplate, dtype: object"
9,10,Jul,1,09:04:37,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,"263    E257
Name: EventId, dtype: object","263    __73-[NetworkAnalyticsEngine observeValueForKe...
Name: EventTemplate, dtype: object"
10,11,Jul,1,09:12:20,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,"45    E175
Name: EventId, dtype: object","45    <*> <*>
Name: EventTemplate, dtype: object"
11,12,Jul,1,09:12:21,calvisitor-10-105-160-95,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,"385    E196
Name: EventId, dtype: object","385    __73-[NetworkAnalyticsEngine observeValueForKe...
Name: EventTemplate, dtype: object"
12,13,Jul,1,09:18:16,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","417    E197
Name: EventId, dtype: object","417    ARPT: <*> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Name: EventTemplate, dtype: object"
13,14,Jul,1,09:19:03,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,"418    E83
Name: EventId, dtype: object","418    <*> - <*> = <*>
Name: EventTemplate, dtype: object"
14,15,Jul,1,09:19:03,authorMacBook-Pro,configd,53,,"setting hostname to ""authorMacBook-Pro.local""","147    E111
Name: EventId, dtype: object","147    setting hostname to ""authorMacBook-Pro.local""
Name: EventTemplate, dtype: object"
15,16,Jul,1,09:19:13,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.","124    E392
Name: EventId, dtype: object","124    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
16,17,Jul,1,09:21:57,authorMacBook-Pro,corecaptured,31174,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,"45    E175
Name: EventId, dtype: object","45    <*> <*>
Name: EventTemplate, dtype: object"
17,18,Jul,1,09:21:58,calvisitor-10-105-160-95,com.apple.WebKit.WebContent,25654,,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,"368    E302
Name: EventId, dtype: object","368    <*> <<<< CRABS >>>> crabsFlumeHostAvailable: [...
Name: EventTemplate, dtype: object"
18,19,Jul,1,09:22:02,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.","124    E392
Name: EventId, dtype: object","124    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
19,20,Jul,1,09:22:25,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,"10    E141
Name: EventId, dtype: object","10    IO80211AWDLPeerManager::setAwdlAutoMode Resumi...
Name: EventTemplate, dtype: object"
20,21,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,"360    E84
Name: EventId, dtype: object","360    AirPort: Link Down on awdl0. Reason 1 (Unspeci...
Name: EventTemplate, dtype: object"
