,LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
0,1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]","2    E0.0
Name: EventId, dtype: object","2    <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
1,2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi","16    E11.0
Name: EventId, dtype: object","16    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
2,3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi","16    E11.0
Name: EventId, dtype: object","16    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
3,4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","5    E2.0
Name: EventId, dtype: object","5    SecurityManager: authentication disabled; ui a...
Name: EventTemplate, dtype: object"
4,5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi","16    E11.0
Name: EventId, dtype: object","16    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
5,6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi","16    E11.0
Name: EventId, dtype: object","16    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
6,7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","5    E2.0
Name: EventId, dtype: object","5    SecurityManager: authentication disabled; ui a...
Name: EventTemplate, dtype: object"
7,8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
8,9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
9,10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],"7    E4.0
Name: EventId, dtype: object","7    Remoting started; listening on addresses :[akk...
Name: EventTemplate, dtype: object"
10,11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,"2    E0.0
Name: EventId, dtype: object","2    <*> <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
11,12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,"17    E5.0
Name: EventId, dtype: object","17    Created local directory at /opt/hdfs/nodemanag...
Name: EventTemplate, dtype: object"
12,13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,"10    E1.0
Name: EventId, dtype: object","10    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
13,14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,"6    E6.0
Name: EventId, dtype: object","6    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
14,15,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
15,16,17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,"14    E7.0
Name: EventId, dtype: object","14    Starting executor ID 5 on host mesos-slave-07
Name: EventTemplate, dtype: object"
16,17,17/06/09,20:10:42,INFO,util.Utils,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,"11    E8.0
Name: EventId, dtype: object","11    Successfully started service 'org.apache.spark...
Name: EventTemplate, dtype: object"
17,18,17/06/09,20:10:42,INFO,netty.NettyBlockTransferService,Server created on 40984,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
18,19,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Trying to register BlockManager,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
19,20,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Registered BlockManager,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
20,21,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 0,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
21,22,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
22,23,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 2,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
23,24,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 3,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
24,25,17/06/09,20:10:45,INFO,executor.Executor,Running task 0.0 in stage 0.0 (TID 0),"9    E9.0
Name: EventId, dtype: object","9    Running task <*> in stage <*> (TID <*>
Name: EventTemplate, dtype: object"
25,26,17/06/09,20:10:45,INFO,executor.Executor,Running task 2.0 in stage 0.0 (TID 2),"9    E9.0
Name: EventId, dtype: object","9    Running task <*> in stage <*> (TID <*>
Name: EventTemplate, dtype: object"
26,27,17/06/09,20:10:45,INFO,executor.Executor,Running task 1.0 in stage 0.0 (TID 1),"9    E9.0
Name: EventId, dtype: object","9    Running task <*> in stage <*> (TID <*>
Name: EventTemplate, dtype: object"
27,28,17/06/09,20:10:45,INFO,executor.Executor,Running task 3.0 in stage 0.0 (TID 3),"9    E9.0
Name: EventId, dtype: object","9    Running task <*> in stage <*> (TID <*>
Name: EventTemplate, dtype: object"
28,29,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 4,"1    E3.0
Name: EventId, dtype: object","1    <*> <*>
Name: EventTemplate, dtype: object"
29,30,17/06/09,20:10:45,INFO,executor.Executor,Running task 4.0 in stage 0.0 (TID 4),"9    E9.0
Name: EventId, dtype: object","9    Running task <*> in stage <*> (TID <*>
Name: EventTemplate, dtype: object"
30,31,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 9,"10    E1.0
Name: EventId, dtype: object","10    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
31,32,17/06/09,20:10:45,INFO,storage.MemoryStore,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)","3    E10.0
Name: EventId, dtype: object","3    Block <*> stored as <*> in memory (estimated s...
Name: EventTemplate, dtype: object"
32,33,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 9 took 160 ms,"10    E1.0
Name: EventId, dtype: object","10    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
33,34,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)","3    E10.0
Name: EventId, dtype: object","3    Block <*> stored as <*> in memory (estimated s...
Name: EventTemplate, dtype: object"
34,35,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_1 not found, computing it","16    E11.0
Name: EventId, dtype: object","16    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
35,36,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_3 not found, computing it","16    E11.0
Name: EventId, dtype: object","16    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
36,37,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_0 not found, computing it","16    E11.0
Name: EventId, dtype: object","16    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
37,38,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_2 not found, computing it","16    E11.0
Name: EventId, dtype: object","16    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
38,39,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_4 not found, computing it","16    E11.0
Name: EventId, dtype: object","16    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
39,40,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,"15    E12.0
Name: EventId, dtype: object","15    Input split: <*>
Name: EventTemplate, dtype: object"
40,41,17/06/09,20:10:46,INFO,rdd.HadoopRDD,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,"15    E12.0
Name: EventId, dtype: object","15    Input split: <*>
Name: EventTemplate, dtype: object"
