,EventId,EventTemplate
0,E15.0,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver
1,E3.0,<*> <*>
2,E0.0,<*> <*> <*> <*> <*> <*> <*>
3,E10.0,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
4,E18.0,<*> Committed
5,E2.0,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
6,E6.0,<*> <*> <*> <*>
7,E4.0,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]
8,E13.0,"<*> is deprecated. Instead, use <*>"
9,E9.0,Running task <*> in stage <*> (TID <*>
10,E1.0,<*> <*> <*> <*> <*>
11,E8.0,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.
12,E17.0,Saved output of task <*> to <*>
13,E16.0,Found block <*> locally
14,E7.0,Starting executor ID 5 on host mesos-slave-07
15,E12.0,Input split: <*>
16,E11.0,<*> <*> <*> <*> <*>
17,E5.0,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4
18,E14.0,Times: total = <*> boot = <*> init = <*> finish = <*>
