,EventId,EventTemplate
0,E26.0,probe new device 0x1028:0x0013:0x1028:0x016c: bus 2:slot 14:func 0
1,E31.0,"i8042 <*> port at 0x60,0x64 irq <*>"
2,E40.0,Mounting NFS filesystems: succeeded
3,E113.0,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1
4,E111.0,"<*> from=root, <*> class=0, nrcpts=1, <*> relay=#7#@localhost"
5,E131.0,Warning: we failed to resolve data source name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
6,E35.0,Using HPET based timekeeping.
7,E39.0,"User #29#, coming from #30#, authenticated."
8,E78.0,<*> used by override.
9,E21.0,... autorun DONE.
10,E51.0,connection lost: 'Connection closed.'
11,E128.0,"<*> to=root, ctladdr=root (0/0), <*> xdelay=00:00:00, mailer=relay, <*> relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]"
12,E8.0,CentOS-4 (Kernel Module GPG key)
13,E37.0,probe of vesafb0 failed with error -6
14,E20.0,<*> <*> <*>
15,E33.0,Detected 3591.360 MHz processor.
16,E105.0,Now running on #29#'s privileges.
17,E102.0,asking for cache data failed
18,E130.0,"root=LABEL=/ initrd=/x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin console=tty0 console=ttyS0,19200 fastboot BOOT_IMAGE=/x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr"
19,E18.0,Assuming 33MHz system bus speed for PIO modes; override with idebus=xx
20,E9.0,PCI Hot Plug PCI Core version: 0.5
21,E98.0,no floppy controllers found
22,E17.0,<*> <*> <*> <*> <*> <*> <*>
23,E117.0,PCI Interrupt Link [LNKB] (IRQs 3 4 5 6 7 10 *11 12)
24,E0.0,session closed for user root
25,E60.0,LAPIC_NMI <*> high edge lint[0x1])
26,E75.0,(supports S0 S4 S5)
27,E69.0,START: tftp pid=16563 from=10.100.4.251
28,E42.0,Warning: we failed to resolve <*> <*> name <*> <*>
29,E72.0,Received SNMP packet(s) from #34#
30,E52.0,(root) CMD (run-parts /etc/cron.hourly)
31,E92.0,<*> <*> <*> <*> <*>
32,E83.0,<*> <*> <*> <*>
33,E19.0,Unknown cmd fd(5) cmd(80081272){00} arg(ffffda44) on /dev/sda
34,E126.0,Reading included configuration file: /etc/xinetd.d/krb5-telnet [file=/etc/xinetd.d/krb5-telnet] [line=13]
35,E4.0,Using IOAPIC for interrupt routing
36,E15.0,eth0: e1000_watchdog: NIC Link is Up 1000 Mbps Full Duplex
37,E76.0,<*> (v001 DELL PE BKC 0x00000001 MSFT <*> @ <*>
38,E74.0,My unqualified host name <*> unknown; sleeping for retry
39,E104.0,registered new driver <*>
40,E67.0,Local disconnected: Connection closed.
41,E43.0,<*>
42,E121.0,"Trace cache: 12K uops, L1 D cache: 16K"
43,E95.0,allocating divert_blk for eth0
44,E59.0,LAPIC <*> <*> enabled)
45,E22.0,<*> <*> <*>
46,E24.0,<*> (Release Date: <*> <*> <*> <*> <*> 2004)
47,E7.0,<*> netfilter hooks
48,E58.0,(root) CMD (/projects/tbird/temps/get_temps c)
49,E110.0,unable to qualify my own domain name <*> -- using short name
50,E84.0,"routing cache hash table of 65536 buckets, 1024Kbytes"
