,EventId,EventTemplate
0,E24.0,0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=7
1,E15.0,Session: <*> initialized by client <*>
2,E31.0,Unloading offline registry hive: <*>
3,E7.0,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6"
4,E26.0,Loading offline registry hive: <*> into registry key <*> from path <*>
5,E10.0,"<*> Creating NT transaction (seq <*> objectname [6]""(null)"""
6,E17.0,Warning: Unrecognized packageExtended attribute.
7,E3.0,SQM: Initializing online with Windows opt-in: False
8,E30.0,00000009@2016/9/28:16:01:03.072 PopulateComponentFamiliesKey - End
9,E18.0,Read out cached package applicability for package: <*> ApplicableState: <*> <*>
10,E21.0,"00000009@2016/9/27:20:40:53.744 CSI Transaction @0x47e9e0 initialized for deployment engine {d16d444c-56d8-11d5-882d-0080c847b195} with flags 00000002 and client id [10]""TI6.0_0:0/"""
11,E4.0,SQM: <*> <*> <*> <*> <*> <*>
12,E22.0,0000000a Performing 1 operations; 1 are not lock/unlock and follow:
13,E13.0,<*> processing thread terminated normally
14,E28.0,Offline image is: read-only
15,E23.0,<*> <*> <*> <*> <*> <*> <*> <*>
16,E29.0,00000008@2016/9/28:16:00:46.635 PopulateComponentFamiliesKey - Begin
17,E27.0,"Loading offline registry hive: schema.dat, into registry key '{bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/system32/smi/store/Machine/schema.dat' from path '\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy2\Windows\system32\smi\store\Machine\schema.dat'."
18,E20.0,<*> <*>
19,E12.0,<*> CSI <*> <*>
20,E8.0,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
21,E16.0,<*> <*> <*> <*> <*> <*> <*> <*>
22,E1.0,<*> WcpInitialize (wcp.dll version 0.0.0.6) called (stack <*> <*> <*> <*> <*> <*>
23,E14.0,<*> CSI Store <*> <*> initialized
24,E19.0,Reboot mark refs incremented to: 1
25,E25.0,"Scavenge: Completed, disposition: 0X1"
26,E0.0,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll
27,E5.0,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]"
28,E2.0,<*> <*> <*>
29,E32.0,Unloading offline registry hive: {bf1a281b-ad7b-4476-ac95-f47682990ce7}GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/system32/smi/store/Machine/schema.dat
30,E6.0,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*>
31,E11.0,"<*> Created NT transaction (seq <*> result 0x00000000, handle <*>"
32,E9.0,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = <*>"
