,LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate
0,1,2015-10-18,"18:01:47,978",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,"0    E46
Name: EventId, dtype: object","0    Created MRAppMaster for application appattempt...
Name: EventTemplate, dtype: object"
1,2,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,"1    E47
Name: EventId, dtype: object","1    <*>
Name: EventTemplate, dtype: object"
2,3,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","2    E83
Name: EventId, dtype: object","2    Kind: YARN_AM_RM_TOKEN, Service: , Ident: (app...
Name: EventTemplate, dtype: object"
3,4,2015-10-18,"18:01:49,228",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,"1    E47
Name: EventId, dtype: object","1    <*>
Name: EventTemplate, dtype: object"
4,5,2015-10-18,"18:01:50,353",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,"3    E48
Name: EventId, dtype: object","3    OutputCommitter set in config null
Name: EventTemplate, dtype: object"
5,6,2015-10-18,"18:01:50,509",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,"4    E49
Name: EventId, dtype: object","4    OutputCommitter is org.apache.hadoop.mapreduce...
Name: EventTemplate, dtype: object"
6,7,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,"5    E0
Name: EventId, dtype: object","5    Registering class org.apache.hadoop.mapreduce....
Name: EventTemplate, dtype: object"
7,8,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,"6    E1
Name: EventId, dtype: object","6    Registering class <*> for class <*>
Name: EventTemplate, dtype: object"
8,9,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,"6    E1
Name: EventId, dtype: object","6    Registering class <*> for class <*>
Name: EventTemplate, dtype: object"
9,10,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,"6    E1
Name: EventId, dtype: object","6    Registering class <*> for class <*>
Name: EventTemplate, dtype: object"
10,11,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,"6    E1
Name: EventId, dtype: object","6    Registering class <*> for class <*>
Name: EventTemplate, dtype: object"
11,12,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,"7    E2
Name: EventId, dtype: object","7    Registering class <*> for class <*>
Name: EventTemplate, dtype: object"
12,13,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,"7    E2
Name: EventId, dtype: object","7    Registering class <*> for class <*>
Name: EventTemplate, dtype: object"
13,14,2015-10-18,"18:01:50,588",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,"7    E2
Name: EventId, dtype: object","7    Registering class <*> for class <*>
Name: EventTemplate, dtype: object"
14,15,2015-10-18,"18:01:50,634",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],"8    E3
Name: EventId, dtype: object","8    Default file system [hdfs://msra-sa-41:9000]
Name: EventTemplate, dtype: object"
15,16,2015-10-18,"18:01:50,666",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],"8    E3
Name: EventId, dtype: object","8    Default file system [hdfs://msra-sa-41:9000]
Name: EventTemplate, dtype: object"
16,17,2015-10-18,"18:01:50,713",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],"8    E3
Name: EventId, dtype: object","8    Default file system [hdfs://msra-sa-41:9000]
Name: EventTemplate, dtype: object"
17,18,2015-10-18,"18:01:50,728",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,"9    E50
Name: EventId, dtype: object","9    Emitting job history data to the timeline serv...
Name: EventTemplate, dtype: object"
18,19,2015-10-18,"18:01:50,806",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,"6    E1
Name: EventId, dtype: object","6    Registering class <*> for class <*>
Name: EventTemplate, dtype: object"
19,20,2015-10-18,"18:01:51,197",INFO,main,org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,"10    E51
Name: EventId, dtype: object","10    loaded properties from hadoop-metrics2.properties
Name: EventTemplate, dtype: object"
20,21,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,"11    E52
Name: EventId, dtype: object","11    Scheduled snapshot period at 10 second(s).
Name: EventTemplate, dtype: object"
21,22,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MRAppMaster metrics system started,"12    E53
Name: EventId, dtype: object","12    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
22,23,2015-10-18,"18:01:51,322",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,"13    E54
Name: EventId, dtype: object","13    Adding job token for job_1445144423722_0020 to...
Name: EventTemplate, dtype: object"
23,24,2015-10-18,"18:01:51,619",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,"14    E4
Name: EventId, dtype: object","14    Not uberizing job_1445144423722_0020 because: ...
Name: EventTemplate, dtype: object"
24,25,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,"15    E5
Name: EventId, dtype: object","15    Input size for job job_1445144423722_0020 = 12...
Name: EventTemplate, dtype: object"
25,26,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Number of reduces for job job_1445144423722_0020 = 1,"16    E6
Name: EventId, dtype: object","16    Number of reduces for job job_1445144423722_00...
Name: EventTemplate, dtype: object"
