,EventId,EventTemplate
0,E77,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0
1,E334,Thermal pressure state: <*> Memory pressure state: 0
2,E191,<*> dealloc
3,E136,<*> <*> <*> <*>
4,E335,ARPT: <*> <*> <*>
5,E137,<*> Frequent transitions for interface <*> <*>
6,E363,"ARPT: <*> IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': <*> 'TimeRemaining': <*>"
7,E25,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: 4096
8,E286,ARPT: <*> ARPT: Wake Reason: Wake on <*> <*>
9,E138,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2
10,E243,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
11,E78,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2
12,E139,"ARPT: <*> wl0: MDNS: 0 SRV Recs, 0 TXT Recs"
13,E287,<*> - <*> = <*>
14,E192,"setting hostname to ""authorMacBook-Pro.local"""
15,E9,"<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
16,E224,<*> <*> <*>
17,E26,<*> <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.
18,E193,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
19,E336,AirPort: Link Down on awdl0. Reason 1 (Unspecified).
20,E337,"PM response took <*> ms (54, powerd)"
21,E27,"ARPT: <*> wl0: Roamed or switched channel, reason #8, bssid <*> last RSSI <*>"
22,E244,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000
23,E13,"<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
24,E245,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)"
25,E288,"network_reachability_changed : network is not reachable, netbiosd is shutting down"
26,E172,<*> <*> <*>
27,E117,<*> deny network-outbound /private/var/run/mDNSResponder
28,E28,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>
29,E118,Sandbox: <*> deny(1) <*> <*>
30,E220,AirPort: Link Up on awdl0
31,E194,<*> - <*> = <*>
32,E316,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds
33,E79,mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F)
34,E369,ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size 278
35,E289,en0::IO80211Interface::postMessage bssid changed
36,E80,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0
37,E225,<*>
38,E81,"ARPT: 621686.164365: wl0: setup_keepalive: Local port: 62614, Remote port: 443"
39,E365,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) <*> <*> +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319)
40,E195,en0: channel changed to <*>
41,E140,ARPT: <*> AQM agg results 0x8001 len hi/lo: 0x0 <*> BAbitmap(0-3) 0 0 0 0
42,E141,CCFile::captureLog Received Capture notice id: <*> reason = <*>
43,E246,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>
44,E173,Unrecognized attribute value: t:AbchPersonItemType
45,E30,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}"
46,E339,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data"
47,E290,<*> : <*> <*> <*>
48,E196,<*>
49,E247,<*> : <*> <*> <*> <*> <*> <*> <*> <*>
50,E366,"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}"
51,E291,Location icon should now be in state <*>
52,E82,"ARPT: <*> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10"
53,E142,ARPT: <*> wl0: MDNS: IPV4 Addr: <*>
54,E197,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>
55,E198,en0::IO80211Interface::postMessage bssid changed
56,E367,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000
57,E83,"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0"
58,E84,Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive)
59,E368,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.
60,E199,<*> : <*> <*> <*>
61,E226,<*> <*> <*> <*>
62,E31,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [50] Network is down
63,E143,AirPort: Link Down on en0. Reason 8 (Disassociated because station leaving).
64,E292,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3"
65,E200,CCXPCService::setStreamEventHandler Registered for notification callback.
66,E119,<*> Failed to read DnsConfig.
67,E293,Saw change in network reachability (isReachable=2)
68,E340,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01)
69,E294,en0: BSSID changed to <*>
70,E144,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>
71,E338,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds
72,E145,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID
73,E58,"<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring."
74,E371,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}"
75,E120,RTC: Maintenance <*> <*> sleep <*> <*>
76,E295,"en0: channel changed to 132,+1"
77,E356,<*> : <*> <*> <*> <*>
78,E201,<*> <*>
79,E341,en0: 802.11d country code set to 'X3'.
80,E32,ARPT: <*> wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: 4096
