,LineId,Date,Day,Time,Component,Pid,Content,EventId,EventTemplate
0,1,Dec,10,06:55:46,LabSZ,24200,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,"0    E0
Name: EventId, dtype: object","0    reverse mapping checking getaddrinfo for ns.ma...
Name: EventTemplate, dtype: object"
1,2,Dec,10,06:55:46,LabSZ,24200,Invalid user webmaster from 173.234.31.186,"1    E1
Name: EventId, dtype: object","1    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
2,3,Dec,10,06:55:46,LabSZ,24200,input_userauth_request: invalid user webmaster [preauth],"2    E2
Name: EventId, dtype: object","2    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
3,4,Dec,10,06:55:46,LabSZ,24200,pam_unix(sshd:auth): check pass; user unknown,"3    E3
Name: EventId, dtype: object","3    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
4,5,Dec,10,06:55:46,LabSZ,24200,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186,"4    E4
Name: EventId, dtype: object","4    pam_unix(sshd:auth): authentication failure; l...
Name: EventTemplate, dtype: object"
5,6,Dec,10,06:55:48,LabSZ,24200,Failed password for invalid user webmaster from 173.234.31.186 port 38926 ssh2,"5    E17
Name: EventId, dtype: object","5    <*> <*> for <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
6,7,Dec,10,06:55:48,LabSZ,24200,Connection closed by 173.234.31.186 [preauth],"6    E16
Name: EventId, dtype: object","6    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
7,8,Dec,10,07:02:47,LabSZ,24203,Connection closed by 212.47.254.145 [preauth],"6    E16
Name: EventId, dtype: object","6    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
8,9,Dec,10,07:07:38,LabSZ,24206,Invalid user test9 from 52.80.34.196,"1    E1
Name: EventId, dtype: object","1    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
9,10,Dec,10,07:07:38,LabSZ,24206,input_userauth_request: invalid user test9 [preauth],"2    E2
Name: EventId, dtype: object","2    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
10,11,Dec,10,07:07:38,LabSZ,24206,pam_unix(sshd:auth): check pass; user unknown,"3    E3
Name: EventId, dtype: object","3    <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
11,12,Dec,10,07:07:38,LabSZ,24206,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn,"7    E6
Name: EventId, dtype: object","7    pam_unix(sshd:auth): authentication failure; l...
Name: EventTemplate, dtype: object"
12,13,Dec,10,07:07:45,LabSZ,24206,Failed password for invalid user test9 from 52.80.34.196 port 36060 ssh2,"5    E17
Name: EventId, dtype: object","5    <*> <*> for <*> <*> <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
