,EventId,EventTemplate
0,E357.0,ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size 278
1,E34.0,"ARPT: <*> IOPMPowerSource Information: <*>  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,"
2,E65.0,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>
3,E380.0,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>
4,E89.0,RTC: Maintenance 2017/7/1 <*> sleep 2017/7/1 <*>
5,E359.0,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}"
6,E11.0,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}"
7,E246.0,<*> <*> <*> <*> <*> <*>
8,E204.0,<*> <*>
9,E395.0,"Path not allowed in target domain: type = pid, path = <*> error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc"
10,E262.0,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions
11,E10.0,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>
12,E15.0,ARPT: 682468.243050: AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake
13,E181.0,############################## _getSysMsgList
14,E340.0,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3"
15,E260.0,Internal name did not resolve to internal address!
16,E401.0,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https://13957525385%40163.com@p28-contacts.icloud.com/874161398/principal/] Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=0x7f9af3646900 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://13957525385%40163.com@p28-contacts.icloud.com/874161398/principal/, NSErrorFailingURLKey=https://13957525385%40163.com@p28-contacts.icloud.com/874161398/principal/, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://13957525385%40163.com@p28-contacts.icloud.com/874161398/principal/, NSErrorFailingURLKey=https://13957525385%40163.com@p28-contacts.icloud.com/874161398/principal/, _kCFStreamErrorDomainKey=4, _kCFStreamErrorCodeKey=-2102, NSLocalizedDescription=The request timed out.}"
17,E69.0,"2017-07-06 00:30:37.071 GoogleSoftwareUpdateAgent[36436/0x7000002a0000] [lvl=2] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'."
18,E266.0,hibernate_setup(0) took <*> ms
