,LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate
0,1,2015-07-29,"17:41:44,747",INFO,QuorumPeer[myid=1]/0,0:0:0:0:0:0:0:2181:FastLeaderElection,774,Notification time out: 3200,"12    E0.0
Name: EventId, dtype: object","12    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
1,2,2015-07-29,"19:04:12,394",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45307,"29    E1.0
Name: EventId, dtype: object","29    Received connection request <*>
Name: EventTemplate, dtype: object"
2,3,2015-07-29,"19:04:29,071",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,"13    E2.0
Name: EventId, dtype: object","13    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
3,4,2015-07-29,"19:04:29,079",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,"35    E3.0
Name: EventId, dtype: object","35    Interrupted while waiting for message on queue
Name: EventTemplate, dtype: object"
4,5,2015-07-29,"19:13:17,524",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,"13    E2.0
Name: EventId, dtype: object","13    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
5,6,2015-07-29,"19:13:24,282",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =","22    E4.0
Name: EventId, dtype: object","22    Connection broken for id <*> my id = <*> error =
Name: EventTemplate, dtype: object"
6,7,2015-07-29,"19:13:24,370",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57707,"29    E1.0
Name: EventId, dtype: object","29    Received connection request <*>
Name: EventTemplate, dtype: object"
7,8,2015-07-29,"19:13:27,721",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =","22    E4.0
Name: EventId, dtype: object","22    Connection broken for id <*> my id = <*> error =
Name: EventTemplate, dtype: object"
8,9,2015-07-29,"19:13:34,382",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,"35    E3.0
Name: EventId, dtype: object","35    Interrupted while waiting for message on queue
Name: EventTemplate, dtype: object"
9,10,2015-07-29,"19:13:37,626",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,"13    E2.0
Name: EventId, dtype: object","13    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
